,City,Latitude,Longitude,Maximum Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,Khatanga,71.9667,102.5,-32.3,84,98,2.93,RU,1611262643
1,Upernavik,72.7868,-56.1549,25.3,98,87,8.95,GL,1611262643
2,Halifax,44.6453,-63.5724,27.0,46,75,9.22,CA,1611262542
3,Drayton Valley,53.2168,-114.9854,26.01,71,100,8.01,CA,1611262644
4,Deputatsky,69.3,139.9,-33.2,82,100,4.0,RU,1611262644
5,Ribeira Grande,38.5167,-28.7,59.0,77,40,5.75,PT,1611262644
6,Leh,34.1667,77.5833,12.76,56,86,2.42,IN,1611262645
7,Mbeya,-8.9,33.45,61.02,93,100,1.16,TZ,1611262645
8,Bredasdorp,-34.5322,20.0403,69.8,88,95,9.22,ZA,1611262645
9,Eureka,40.8021,-124.1637,55.99,60,71,1.01,US,1611262645
10,Saint-Philippe,-21.3585,55.7679,82.4,78,0,6.91,RE,1611262645
11,Rikitea,-23.1203,-134.9692,78.71,72,0,15.86,PF,1611262645
12,Varhaug,58.6147,5.6457,41.0,87,75,18.41,NO,1611262645
13,Camacha,33.0833,-16.3333,64.4,94,75,16.11,PT,1611262645
14,Port Alfred,-33.5906,26.891,69.01,93,11,5.01,ZA,1611262450
15,Kuril'sk,45.2333,147.8833,23.36,91,100,19.42,RU,1611262646
16,Saint Paul Harbor,57.79,-152.4072,39.2,87,90,11.5,US,1611262646
17,Cape Town,-33.9258,18.4232,69.01,77,40,11.5,ZA,1611262599
18,Gobabis,-22.45,18.9667,74.5,62,69,16.28,NA,1611262646
19,Airai,-8.9266,125.4092,62.22,100,98,2.39,TL,1611262646
20,Busselton,-33.65,115.3333,62.01,88,0,4.0,AU,1611262646
21,Dikson,73.5069,80.5464,-26.45,83,9,4.18,RU,1611262646
22,Butaritari,3.0707,172.7902,79.7,80,23,10.92,KI,1611262646
23,Gijang,35.2442,129.2139,44.6,93,90,3.44,KR,1611262646
24,Porto Walter,-8.2686,-72.7439,82.89,76,74,3.91,BR,1611262647
25,Jiayuguan City,39.8167,98.3,25.32,66,0,4.76,CN,1611262647
26,Durusu,41.3053,28.6767,50.0,66,0,14.97,TR,1611262647
27,Ritchie,-29.038,24.6028,75.2,60,0,6.91,ZA,1611262647
28,Avarua,-21.2078,-159.775,86.0,70,20,8.05,CK,1611262647
29,Katobu,-4.9408,122.5276,75.99,91,3,3.42,ID,1611262647
30,Yellowknife,62.456,-114.3525,-16.01,76,40,6.91,CA,1611262647
31,Pevek,69.7008,170.3133,-20.63,86,100,3.06,RU,1611262648
32,Codrington,-38.2667,141.9667,57.78,80,100,7.09,AU,1611262648
33,Fond du Lac,43.775,-88.4388,37.4,56,75,17.27,US,1611262648
34,Nikolskoye,59.7035,30.7861,14.0,85,90,17.9,RU,1611262648
35,Srednekolymsk,67.45,153.6833,-41.08,81,21,3.69,RU,1611262648
36,Merauke,-8.4667,140.3333,76.98,88,100,6.15,ID,1611262648
37,Tilichiki,60.4667,166.1,-10.93,89,100,9.22,RU,1611262648
38,Qaanaaq,77.484,-69.3632,12.25,89,86,1.95,GL,1611262648
39,Ola,59.5833,151.2833,-9.27,75,53,5.88,RU,1611262649
40,Puerto del Rosario,28.5004,-13.8627,66.2,77,40,9.22,ES,1611262649
41,Kapaa,22.0752,-159.319,75.2,83,40,13.8,US,1611262649
42,Nema,57.5067,50.5011,1.42,94,99,3.49,RU,1611262649
43,Clyde River,70.4692,-68.5914,1.4,92,40,3.44,CA,1611262649
44,Malakal,9.5334,31.6605,77.05,29,31,7.83,SS,1611262649
45,Hermanus,-34.4187,19.2345,71.01,83,79,3.0,ZA,1611262649
46,Saint George,37.1041,-113.5841,59.0,37,1,1.81,US,1611262649
47,Puerto Ayora,-0.7393,-90.3518,82.4,69,75,5.75,EC,1611262381
48,Ushuaia,-54.8,-68.3,51.8,82,20,6.91,AR,1611262650
49,Sinjai,-5.1241,120.253,75.92,84,93,4.09,ID,1611262650
50,Watsa,3.0372,29.5355,68.77,39,67,0.49,CD,1611262650
51,‘Āhuimanu,21.4447,-157.8378,78.8,57,75,14.97,US,1611262650
52,Leningradskiy,69.3833,178.4167,-13.72,87,100,6.73,RU,1611262650
53,Vredendal,-31.6683,18.5012,78.13,40,41,13.82,ZA,1611262650
54,Martapura,-3.4167,114.85,75.4,90,84,1.07,ID,1611262650
55,Viseu,40.661,-7.9097,55.99,91,100,8.01,PT,1611262621
56,Marsá Maţrūḩ,31.3525,27.2453,53.6,62,0,4.99,EG,1611262377
57,General Roca,-39.0333,-67.5833,102.2,24,0,2.3,AR,1611262651
58,Esim,4.8699,-2.2405,78.93,85,60,6.6,GH,1611262651
59,Jamestown,42.097,-79.2353,36.0,69,90,16.11,US,1611262393
60,Narsaq,60.9167,-46.05,23.0,58,20,4.61,GL,1611262651
61,Arraial do Cabo,-22.9661,-42.0278,84.2,78,0,23.02,BR,1611262651
62,Serebryansk,49.6925,83.2892,23.0,93,75,4.47,KZ,1611262651
63,Hobart,-42.8794,147.3294,64.4,45,0,9.22,AU,1611262578
64,Albany,42.6001,-73.9662,32.0,55,97,6.22,US,1611262652
65,Saint-Augustin,51.226,-58.6502,11.95,89,86,0.72,CA,1611262652
66,Bluff,-46.6,168.3333,55.99,93,64,11.99,NZ,1611262652
67,Tromsø,69.6496,18.957,15.8,57,0,2.3,NO,1611262652
68,Alugan,12.2188,125.4808,80.1,85,100,7.27,PH,1611262652
69,Zeya,53.75,127.2667,-21.62,80,23,0.78,RU,1611262652
70,Slave Lake,55.2834,-114.769,26.6,93,90,11.5,CA,1611262652
71,Emerald,-23.5333,148.1667,71.01,83,100,5.75,AU,1611262652
72,Kuito,-12.3833,16.9333,64.53,71,100,2.26,AO,1611262652
73,Griffith,41.5284,-87.4237,43.0,49,1,19.57,US,1611262652
74,Punta Arenas,-53.15,-70.9167,60.8,39,0,29.93,CL,1611262653
75,Chui,-33.6971,-53.4616,74.88,67,0,13.22,UY,1611262653
76,Atuona,-9.8,-139.0333,77.41,79,36,12.39,PF,1611262653
77,Provideniya,64.3833,-173.3,23.0,93,90,15.66,RU,1611262653
78,Noumea,-22.2763,166.4572,80.01,83,0,2.3,NC,1611262494
79,Aras,42.5617,-2.356,48.2,87,0,6.91,ES,1611262653
80,Anadyr,64.75,177.4833,1.4,85,75,8.95,RU,1611262653
81,Korla,41.7597,86.1469,21.65,84,16,5.44,CN,1611262653
82,Hofn,64.2539,-15.2082,29.12,90,91,21.16,IS,1611262654
83,Torbay,47.6666,-52.7314,30.0,93,90,31.07,CA,1611262654
84,Kiryat Gat,31.61,34.7642,48.99,67,0,1.99,IL,1611262625
85,Mataura,-46.1927,168.8643,55.99,93,91,11.99,NZ,1611262654
86,Mar del Plata,-38.0023,-57.5575,80.6,74,0,11.5,AR,1611262519
87,Norman Wells,65.282,-126.8329,6.8,78,75,2.75,CA,1611262654
88,North Bend,43.4065,-124.2243,54.0,62,75,5.75,US,1611262636
89,Bestöbe,52.4994,73.0975,-11.4,88,21,9.91,KZ,1611262655
90,Hilo,19.7297,-155.09,78.8,57,1,6.91,US,1611262630
91,Port Elizabeth,-33.918,25.5701,69.8,94,40,16.11,ZA,1611262600
92,Hasaki,35.7333,140.8333,30.2,86,40,3.44,JP,1611262655
93,Provost,52.3501,-110.2683,21.2,86,86,10.36,CA,1611262655
94,Tuktoyaktuk,69.4541,-133.0374,-5.8,84,90,12.66,CA,1611262655
95,George Town,5.4112,100.3354,77.0,83,20,3.44,MY,1611262655
96,Farafangana,-22.8167,47.8333,80.24,90,5,9.17,MG,1611262655
97,Alofi,-19.0595,-169.9187,82.4,89,75,5.75,NU,1611262656
98,Tessalit,20.1986,1.0114,63.55,24,0,12.84,ML,1611262657
99,Palmer,42.1584,-72.3287,34.0,63,88,5.01,US,1611262657
100,Gornopravdinsk,60.05,69.9,-11.33,90,100,3.67,RU,1611262657
101,Saint Anthony,45.0205,-93.218,33.8,51,20,21.85,US,1611262657
102,Marawi,7.9986,124.2928,75.0,94,97,4.0,PH,1611262657
103,Langsa,4.4683,97.9683,72.23,87,100,2.15,ID,1611262657
104,Putyatino,54.16,41.1169,15.44,97,100,6.24,RU,1611262657
105,Geraldton,-28.7667,114.6,69.8,88,0,12.86,AU,1611262658
106,Tacuarembó,-31.7333,-55.9833,84.74,43,0,12.97,UY,1611262658
107,Kasimov,54.9411,41.3953,10.99,97,99,4.99,RU,1611262658
108,Tautira,-17.7333,-149.15,84.2,65,75,4.61,PF,1611262658
109,Sur,22.5667,59.5289,68.85,54,13,3.0,OM,1611262404
110,Hamilton,39.1834,-84.5333,51.8,32,20,17.27,US,1611262441
111,Lebu,-37.6167,-73.65,63.79,76,0,21.07,CL,1611262659
112,Ahipara,-35.1667,173.1667,65.32,61,16,8.46,NZ,1611262659
113,Ancud,-41.8697,-73.8203,77.0,53,20,4.61,CL,1611262659
114,Castro,-24.7911,-50.0119,66.76,95,100,4.74,BR,1611262659
115,Curup,-3.4667,102.5333,65.53,89,100,1.43,ID,1611262659
116,Saldanha,-33.0117,17.9442,71.6,64,22,9.22,ZA,1611262659
117,Buraidah,26.326,43.975,44.6,61,0,3.44,SA,1611262660
118,Bandarbeyla,9.4942,50.8122,75.42,76,96,16.84,SO,1611262660
119,Great Falls,47.5002,-111.3008,32.0,43,90,4.61,US,1611262307
120,Port Hardy,50.6996,-127.4199,41.0,75,75,3.44,CA,1611262660
